id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
633677,8093d342-8dba-4a88-8eb2-277fc01186d4,2014-04-20,2014-04-20,,Eastern Time (US & Canada),557,rontavius,Clinton Jenkins,2014-04-20 16:48:51 UTC,2020-08-10 17:56:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/633677,https://inaturalist-open-data.s3.amazonaws.com/photos/797225/medium.jpg,,,,5,0,FALSE,,"São Paulo, BR",-230.320.456.635,-463.751.519.742,,,,,30217,,obscured,TRUE,,,,Nazaré Paulista,São Paulo,Brazil,São Paulo,Nazaré Paulista,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
5308815,9576d5ad-63e7-43b5-b484-87f549b040ae,Sun Mar 12 2017 10:36:37 GMT-0300 (GMT-3),2017-03-12,2017-03-12 13:36:37 UTC,Brasilia,231737,deboas,B. Phalan,2017-03-14 23:36:56 UTC,2024-04-28 02:19:19 UTC,research,CC0,https://www.inaturalist.org/observations/5308815,https://inaturalist-open-data.s3.amazonaws.com/photos/6579977/medium.jpeg,,,,5,0,FALSE,3,"Rio de Janeiro, BR",-223.555.769.021,-428.101.573.123,5,,,,30298,,obscured,TRUE,,,,Teresópolis,Rio de Janeiro,Brazil,Rio de Janeiro,Teresópolis,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
5805592,6e6d5c4b-cb0e-4476-aaea-ed1f3f1b28cd,Sun Apr 16 2017 09:21:54 GMT-0300 (GMT-3),2017-04-16,2017-04-16 12:21:54 UTC,Brasilia,231737,deboas,B. Phalan,2017-04-18 00:17:17 UTC,2024-04-28 02:21:29 UTC,research,CC0,https://www.inaturalist.org/observations/5805592,https://inaturalist-open-data.s3.amazonaws.com/photos/7446484/medium.jpeg,,,,5,0,FALSE,3,"Rio de Janeiro, BR",-219.699.281.997,-427.420.536.651,10,,,,30338,,obscured,TRUE,,,,Sapucaia,Rio de Janeiro,Brazil,Rio de Janeiro,Sapucaia,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
6007282,71f4f7c0-b7f7-41ff-bf79-47f3cac90c5f,Sat Apr 22 2017 13:10:54 GMT-0300 (GMT-3),2017-04-22,2017-04-22 16:10:54 UTC,Brasilia,231737,deboas,B. Phalan,2017-04-29 15:45:00 UTC,2024-04-28 02:19:59 UTC,research,CC0,https://www.inaturalist.org/observations/6007282,https://inaturalist-open-data.s3.amazonaws.com/photos/7515207/medium.jpeg,,,,5,0,FALSE,3,"Rio de Janeiro, BR",-221.192.728.801,-429.520.234.701,10,,,,30318,,obscured,TRUE,,,,São José do Vale do Rio Preto,Rio de Janeiro,Brazil,Rio de Janeiro,São José do Vale do Rio Preto,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
8976388,ebdeec33-a9ee-4f56-b198-1fe257cd5e65,2017/11/29 6:59 AM -02,2017-11-29,,Brasilia,61934,sandrovonmatter,Sandro Von Matter,2017-11-29 10:48:20 UTC,2021-08-03 00:53:30 UTC,research,,https://www.inaturalist.org/observations/8976388,https://static.inaturalist.org/photos/12106529/medium.jpeg,,,,5,0,FALSE,,"São Paulo, BR",-230.360.304.507,-463.620.530.146,203,,,,30217,,obscured,TRUE,,,,Nazaré Paulista,São Paulo,Brazil,São Paulo,Nazaré Paulista,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
12180677,09a9f48b-b026-4b14-ba37-6016f48f9ec8,2006/05/01 11:46 AM UTC,2006-05-01,,UTC,824095,diogoloretto,Diogo Loretto,2018-05-06 01:04:39 UTC,2023-07-06 21:08:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12180677,https://inaturalist-open-data.s3.amazonaws.com/photos/17489289/medium.jpeg,,,,2,0,FALSE,,"Minas Gerais, BR",-219.250.343.742,-428.714.539.978,352,,,,30338,,obscured,TRUE,,,,Além Paraíba,Minas Gerais,Brazil,Minas Gerais,Além Paraíba,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
14365059,4dc818e0-6403-4ea3-81e6-422493b97f94,2018-07-14 1:29:00 PM BRT,2018-07-14,2018-07-14 16:29:00 UTC,Brasilia,1086477,tain2,Tainá Teixeira Biolouka,2018-07-14 23:24:07 UTC,2023-03-05 05:04:38 UTC,research,,https://www.inaturalist.org/observations/14365059,https://static.inaturalist.org/photos/21352697/medium.jpg,,,,3,0,FALSE,2,,,,349,,,,30298,private,obscured,TRUE,gps,gps,,,,,,,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
29752063,b4bd43a6-13ee-4f57-a37b-369a4a8e5282,Sun Jul 28 2019 10:26:29 GMT-0300 (GMT-3),2019-07-28,2019-07-28 13:26:29 UTC,Brasilia,231737,deboas,B. Phalan,2019-07-29 00:16:01 UTC,2024-04-28 01:56:27 UTC,research,CC0,https://www.inaturalist.org/observations/29752063,https://inaturalist-open-data.s3.amazonaws.com/photos/86230722/medium.jpeg,,,,2,0,FALSE,3,"Rio de Janeiro, BR",-230.721.896.233,-444.722.770.303,10,,,,30217,,obscured,TRUE,,,,Parati,Rio de Janeiro,Brazil,Rio de Janeiro,Parati,Buffy-tufted-ear Marmoset,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
29935165,5dfb4ae8-5d44-4440-8f90-ece2fccca518,2016/10/10 12:01 PM HST,2016-10-10,2016-10-10 22:01:00 UTC,Hawaii,1876348,diogoluiz,Diogo Luiz,2019-07-31 19:39:24 UTC,2025-01-20 15:55:13 UTC,research,CC-BY,https://www.inaturalist.org/observations/29935165,https://inaturalist-open-data.s3.amazonaws.com/photos/46745021/medium.jpeg,,,Callithrix aurita - sagui-da-serra-escuro,2,0,FALSE,,"Rio de Janeiro, BR",-224.301.189.391,-431.164.243.482,40023,,,,40023,,obscured,TRUE,,,,Petrópolis,Rio de Janeiro,Brazil,Rio de Janeiro,Petrópolis,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
35943531,d5d5c25b-a597-4dbc-a3dd-13421b421f93,2019-01-01,2019-01-01,,UTC,969197,elisazaroni,Elisa Zaroni,2019-11-22 10:03:36 UTC,2020-08-10 18:01:33 UTC,research,,https://www.inaturalist.org/observations/35943531,https://static.inaturalist.org/photos/56746547/medium.jpg,,,"Visto com certa frequencia, em um pequeno bando.",5,0,FALSE,2,"São Paulo, BR",-233.735.458.927,-456.348.582.286,21,,,,30196,,obscured,TRUE,gps,gps,,Jambeiro,São Paulo,Brazil,São Paulo,Jambeiro,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
