observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
10/04/2005,-224.155.188.206,-433.984.626.205,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/183122968,https://static.inaturalist.org/photos/319425173/medium.jpeg,
01/05/2006,-219.250.343.742,-428.714.539.978,Além Paraíba,Minas Gerais,https://www.inaturalist.org/observations/12180677,https://inaturalist-open-data.s3.amazonaws.com/photos/17489289/medium.jpeg,
23/10/2009,-2.227.386.096,-475.641.396.896,Rio Claro,São Paulo,https://www.inaturalist.org/observations/37692783,https://inaturalist-open-data.s3.amazonaws.com/photos/59806858/medium.png,
21/05/2011,-218.682.758.598,-428.961.583.229,Além Paraíba,Minas Gerais,https://www.inaturalist.org/observations/260913187,https://inaturalist-open-data.s3.amazonaws.com/photos/468643246/medium.jpg,
01/07/2011,-231.596.875.152,-448.200.742.088,Cunha,São Paulo,https://www.inaturalist.org/observations/115339263,https://static.inaturalist.org/photos/194688240/medium.jpg,
02/09/2012,-22.428.037.289,-432.463.621.042,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/37525090,https://static.inaturalist.org/photos/59504259/medium.jpeg,População local sofrendo muito por hibridação com C. penicillata.
08/01/2013,-219.072.528.589,-427.206.268.494,Sapucaia,Rio de Janeiro,https://www.inaturalist.org/observations/38005033,https://inaturalist-open-data.s3.amazonaws.com/photos/60337332/medium.jpg,
08/01/2013,-219.429.133.745,-427.324.592.792,Sapucaia,Rio de Janeiro,https://www.inaturalist.org/observations/38005034,https://inaturalist-open-data.s3.amazonaws.com/photos/60337335/medium.jpg,
08/01/2013,-218.828.903.465,-426.236.584.719,Sapucaia,Rio de Janeiro,https://www.inaturalist.org/observations/53431566,https://inaturalist-open-data.s3.amazonaws.com/photos/84981695/medium.jpg,
13/04/2013,-225.029.011.466,-433.067.367.048,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/106353745,https://static.inaturalist.org/photos/178644874/medium.jpg,
01/09/2013,-231.438.437.446,-453.369.526.251,Taubaté,São Paulo,https://www.inaturalist.org/observations/37792653,https://inaturalist-open-data.s3.amazonaws.com/photos/59984866/medium.jpg,
09/10/2013,-234.609.881.391,-451.666.077.984,Ubatuba,São Paulo,https://www.inaturalist.org/observations/194985683,https://static.inaturalist.org/photos/342903176/medium.jpeg,
09/10/2013,-235.518.541.073,-451.482.833.689,Ubatuba,São Paulo,https://www.inaturalist.org/observations/194985684,https://static.inaturalist.org/photos/342903191/medium.jpeg,
03/12/2013,-224.472.378.064,-467.923.556.803,Águas de Lindóia,São Paulo,https://www.inaturalist.org/observations/224303314,https://static.inaturalist.org/photos/397529427/medium.jpg,
01/01/2014,-232.988.399.993,-463.953.058.777,Nazaré Paulista,São Paulo,https://www.inaturalist.org/observations/102972397,https://inaturalist-open-data.s3.amazonaws.com/photos/172238202/medium.jpg,
20/04/2014,-230.320.456.635,-463.751.519.742,Nazaré Paulista,São Paulo,http://www.inaturalist.org/observations/633677,https://inaturalist-open-data.s3.amazonaws.com/photos/797225/medium.jpg,
19/07/2014,-235.420.087.973,-466.787.564.756,São Paulo,São Paulo,https://www.inaturalist.org/observations/195946595,https://inaturalist-open-data.s3.amazonaws.com/photos/344853389/medium.jpg,
19/07/2014,-234.167.062.191,-466.205.388.415,São Paulo,São Paulo,https://www.inaturalist.org/observations/195946601,https://inaturalist-open-data.s3.amazonaws.com/photos/344853577/medium.jpg,
17/01/2015,-209.772.360.767,-420.850.135.532,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123898499,https://inaturalist-open-data.s3.amazonaws.com/photos/209945113/medium.jpeg,
12/02/2015,-221.681.631.873,-450.697.717.862,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/177351296,https://inaturalist-open-data.s3.amazonaws.com/photos/308440391/medium.jpg,
28/06/2015,-235.707.273.885,-465.114.529.631,São Paulo,São Paulo,https://www.inaturalist.org/observations/198409318,https://inaturalist-open-data.s3.amazonaws.com/photos/349698308/medium.jpg,
24/09/2015,-220.735.351.194,-450.403.447.017,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/227639481,https://inaturalist-open-data.s3.amazonaws.com/photos/403859294/medium.jpg,
04/12/2015,-209.927.204.116,-421.342.920.535,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/128377916,https://inaturalist-open-data.s3.amazonaws.com/photos/218053549/medium.jpeg,
13/12/2015,-234.428.260.666,-465.872.256.712,São Paulo,São Paulo,https://www.inaturalist.org/observations/102407596,https://inaturalist-open-data.s3.amazonaws.com/photos/171175600/medium.jpeg,
27/01/2016,-23.406.851.308,-467.522.616.885,São Paulo,São Paulo,https://www.inaturalist.org/observations/73508879,https://inaturalist-open-data.s3.amazonaws.com/photos/120017645/medium.jpg,
12/02/2016,-208.458.162.194,-418.218.823.306,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123756598,https://inaturalist-open-data.s3.amazonaws.com/photos/209685504/medium.jpeg,
12/02/2016,-209.863.547.088,-419.899.538.532,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123756601,https://inaturalist-open-data.s3.amazonaws.com/photos/209685531/medium.jpeg,
21/02/2016,-209.595.302.864,-42.191.588.766,Tombos,Minas Gerais,https://www.inaturalist.org/observations/214613744,https://inaturalist-open-data.s3.amazonaws.com/photos/379356790/medium.jpeg,"Mata do Banco, APA Água Santa de Minas"
28/02/2016,-209.374.599.447,-42.109.118.634,Tombos,Minas Gerais,https://www.inaturalist.org/observations/223785185,https://inaturalist-open-data.s3.amazonaws.com/photos/396557229/medium.jpeg,
26/05/2016,-23.423.778.498,-467.931.642.221,São Paulo,São Paulo,https://www.inaturalist.org/observations/73023625,https://inaturalist-open-data.s3.amazonaws.com/photos/119161815/medium.jpg,
26/05/2016,-234.774.745.665,-466.046.734.504,São Paulo,São Paulo,https://www.inaturalist.org/observations/73678169,https://inaturalist-open-data.s3.amazonaws.com/photos/120312628/medium.jpg,
08/06/2016,-221.512.290.693,-450.473.141.152,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/47023817,https://inaturalist-open-data.s3.amazonaws.com/photos/74569665/medium.jpg,
10/10/2016,-224.301.189.391,-431.164.243.482,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/29935165,https://inaturalist-open-data.s3.amazonaws.com/photos/46745021/medium.jpeg,Callithrix aurita - sagui-da-serra-escuro
01/12/2016,-208.634.065.922,-4.215.678.415,Tombos,Minas Gerais,https://www.inaturalist.org/observations/219126752,https://inaturalist-open-data.s3.amazonaws.com/photos/387824553/medium.jpeg,Indivíduo com fenótipo de híbrido
01/12/2016,-209.375.694.208,-420.217.855.819,Tombos,Minas Gerais,https://www.inaturalist.org/observations/219126755,https://inaturalist-open-data.s3.amazonaws.com/photos/387824546/medium.jpeg,Indivíduo com fenótipo de híbrido
12/03/2017,-223.555.769.021,-428.101.573.123,Teresópolis,Rio de Janeiro,https://www.inaturalist.org/observations/5308815,https://inaturalist-open-data.s3.amazonaws.com/photos/6579977/medium.jpeg,
16/04/2017,-219.699.281.997,-427.420.536.651,Sapucaia,Rio de Janeiro,https://www.inaturalist.org/observations/5805592,https://inaturalist-open-data.s3.amazonaws.com/photos/7446484/medium.jpeg,
22/04/2017,-221.192.728.801,-429.520.234.701,São José do Vale do Rio Preto,Rio de Janeiro,https://www.inaturalist.org/observations/6007282,https://inaturalist-open-data.s3.amazonaws.com/photos/7515207/medium.jpeg,
24/06/2017,-220.492.027.109,-450.911.095.738,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/195294804,https://inaturalist-open-data.s3.amazonaws.com/photos/343525966/medium.jpg,
07/09/2017,-209.137.936.074,-421.510.589.509,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/123898555,https://inaturalist-open-data.s3.amazonaws.com/photos/209945275/medium.jpeg,
08/09/2017,-219.954.670.803,-452.311.416.584,Lambari,Minas Gerais,https://www.inaturalist.org/observations/199507506,https://static.inaturalist.org/photos/351845044/medium.jpeg,
26/11/2017,-226.819.795.976,-455.046.873.275,Pindamonhangaba,São Paulo,https://www.inaturalist.org/observations/40790050,https://inaturalist-open-data.s3.amazonaws.com/photos/64660028/medium.jpeg,
29/11/2017,-230.360.304.507,-463.620.530.146,Nazaré Paulista,São Paulo,https://www.inaturalist.org/observations/8976388,https://static.inaturalist.org/photos/12106529/medium.jpeg,
26/01/2018,-220.408.214.301,-450.633.333.902,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/148327267,https://static.inaturalist.org/photos/255405983/medium.jpg,
04/02/2018,-222.562.313.673,-431.109.346.228,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/82057761,https://inaturalist-open-data.s3.amazonaws.com/photos/134635565/medium.jpeg,
15/05/2018,-206.992.846.277,-42.832.841.555,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/56944222,https://inaturalist-open-data.s3.amazonaws.com/photos/90783408/medium.jpeg,
21/05/2018,-207.976.859.851,-429.327.348.498,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/49130181,https://inaturalist-open-data.s3.amazonaws.com/photos/77983604/medium.jpeg,
22/05/2018,-207.743.199.265,-428.874.283.204,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/54206013,https://inaturalist-open-data.s3.amazonaws.com/photos/86240397/medium.jpeg,
05/06/2018,-232.662.723.599,-46.820.808.092,Jundiaí,São Paulo,https://www.inaturalist.org/observations/38919571,https://static.inaturalist.org/photos/61850605/medium.jpg,
17/06/2018,-207.890.819.196,-429.423.021.831,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/56792846,https://inaturalist-open-data.s3.amazonaws.com/photos/90529591/medium.jpeg,
21/06/2018,-234.495.065.081,-462.824.953.413,Mogi das Cruzes,São Paulo,https://www.inaturalist.org/observations/189977208,https://static.inaturalist.org/photos/332931003/medium.jpeg,
17/08/2018,-227.350.587.679,-481.575.348.321,Anhembi,São Paulo,https://www.inaturalist.org/observations/196664033,https://inaturalist-open-data.s3.amazonaws.com/photos/346176670/medium.jpg,
18/08/2018,-223.035.762.898,-456.970.738.501,Santa Rita do Ibitipoca,Minas Gerais,https://www.inaturalist.org/observations/136060528,https://static.inaturalist.org/photos/232158643/medium.jpeg,
10/09/2018,-206.402.610.322,-42.881.020.014,Teixeiras,Minas Gerais,https://www.inaturalist.org/observations/56765683,https://inaturalist-open-data.s3.amazonaws.com/photos/90474162/medium.jpeg,Grupo de formas híbridas bem semelhantes a Callithrix aurita
21/12/2018,-224.196.709.741,-433.084.343.277,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/54160622,https://inaturalist-open-data.s3.amazonaws.com/photos/86157386/medium.jpeg,
21/12/2018,-22.504.930.434,-433.949.975.733,Miguel Pereira,Rio de Janeiro,https://www.inaturalist.org/observations/56656484,https://inaturalist-open-data.s3.amazonaws.com/photos/90301187/medium.jpeg,
