observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
15/08/1996,-229.536.671.665,-431.630.348.469,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/26054868,https://inaturalist-open-data.s3.amazonaws.com/photos/40423698/medium.jpg,
21/06/1999,-229.492.450.212,-431.575.111.222,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/167323799,https://inaturalist-open-data.s3.amazonaws.com/photos/289851698/medium.jpg,
15/07/2000,-229.526.864.831,-431.569.341.683,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/12509872,https://inaturalist-open-data.s3.amazonaws.com/photos/18060860/medium.jpg,
19/04/2001,-22.971.860.151,-432.441.880.127,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/12509873,https://inaturalist-open-data.s3.amazonaws.com/photos/18060873/medium.jpg,
18/11/2003,-228.729.838.508,-432.460.036.129,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/159492651,https://inaturalist-open-data.s3.amazonaws.com/photos/275562464/medium.jpg,"This was taken in 2001 on a trip to Rio de Janeiro, Brazil"
17/01/2004,-229.155.999.018,-43.172.652.167,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/38885748,https://inaturalist-open-data.s3.amazonaws.com/photos/61832200/medium.jpeg,
17/01/2004,-229.131.236.834,-431.768.721.776,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/91359164,https://inaturalist-open-data.s3.amazonaws.com/photos/151100464/medium.jpg,
12/02/2004,-22.94,-43.15,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/91359165,https://inaturalist-open-data.s3.amazonaws.com/photos/151100483/medium.jpg,
10/08/2004,-22.950.042,-4.315.601,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/19530588,https://inaturalist-open-data.s3.amazonaws.com/photos/30057520/medium.jpg,
30/10/2004,-229.698.221.372,-430.190.680.191,Rio de Janeiro,Rio de Janeiro,http://www.inaturalist.org/observations/1352476,https://inaturalist-open-data.s3.amazonaws.com/photos/1673539/medium.PNG,"Scanned old picture. In the Sugarloaf Mountain, Rio de Janeiro."
17/08/2005,-229.673.717,-432.250.381,Maricá,Rio de Janeiro,https://www.inaturalist.org/observations/12231133,https://inaturalist-open-data.s3.amazonaws.com/photos/17577683/medium.jpeg,
09/09/2005,-225.790.910.421,-429.692.914.591,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/177660670,https://inaturalist-open-data.s3.amazonaws.com/photos/309027139/medium.jpg,
01/11/2005,-229.507.938.436,-43.162.798.102,Guapimirim,Rio de Janeiro,https://www.inaturalist.org/observations/237450442,https://inaturalist-open-data.s3.amazonaws.com/photos/422590250/medium.jpg,
27/02/2006,-22.420.362.147,-438.195.154.297,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/106656805,https://static.inaturalist.org/photos/179216307/medium.jpeg,Marmoset at edge of forest at Pao de Acucar
08/03/2006,-229.498.560.945,-431.582.359.815,Barra do Piraí,Rio de Janeiro,https://www.inaturalist.org/observations/152264282,https://static.inaturalist.org/photos/262828198/medium.jpeg,
07/05/2006,-232.203.282.754,-447.143.670.265,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/81366244,https://static.inaturalist.org/photos/133446169/medium.jpeg,
09/05/2006,-229.514.836.887,-431.640.787.098,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/39189861,https://inaturalist-open-data.s3.amazonaws.com/photos/62139881/medium.jpg,
25/11/2006,-23.733.087.683,-467.237.213.306,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/39190123,https://inaturalist-open-data.s3.amazonaws.com/photos/62141046/medium.jpg,
26/11/2006,-228.812.491.832,-430.316.340.923,São Paulo,São Paulo,https://www.inaturalist.org/observations/14734599,https://inaturalist-open-data.s3.amazonaws.com/photos/21980574/medium.jpeg,
14/06/2007,-229.488.721.091,-431.580.506.265,Niterói,Rio de Janeiro,https://www.inaturalist.org/observations/66769623,https://inaturalist-open-data.s3.amazonaws.com/photos/107713277/medium.jpeg,
04/01/2008,-232.831.044.718,-446.490.242.585,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/263985530,https://static.inaturalist.org/photos/474338261/medium.jpeg,
20/04/2008,-22.949.367,-43.156.271,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/22635311,https://inaturalist-open-data.s3.amazonaws.com/photos/35071024/medium.jpeg,
15/08/2008,-229.637.848,-43.222.283,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/49168998,https://inaturalist-open-data.s3.amazonaws.com/photos/78046723/medium.jpg,"Sugar Loaf mountain, Rio de Janeiro"
23/11/2008,-230.069.815.177,-433.984.656.283,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/60807362,https://inaturalist-open-data.s3.amazonaws.com/photos/97255203/medium.jpg,
17/01/2009,-229.530.159.548,-4.315.882.314,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/101718609,https://inaturalist-open-data.s3.amazonaws.com/photos/169899627/medium.jpg,location approximate
07/03/2009,-230.547.596.279,-445.848.886.332,Rio de Janeiro,Rio de Janeiro,https://www.inaturalist.org/observations/11900066,https://inaturalist-open-data.s3.amazonaws.com/photos/17035425/medium.jpeg,
21/03/2009,-225.566.492,-437.840.346,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/199358215,https://inaturalist-open-data.s3.amazonaws.com/photos/351562425/medium.jpg,
04/05/2009,-223.534.263,-427.076.107,Mendes,Rio de Janeiro,https://www.inaturalist.org/observations/147569471,https://static.inaturalist.org/photos/253950322/medium.jpeg,
24/07/2009,-224.483.347.888,-427.689.131.774,Nova Friburgo,Rio de Janeiro,https://www.inaturalist.org/observations/272412140,https://inaturalist-open-data.s3.amazonaws.com/photos/490096563/medium.jpeg,
19/08/2009,-229.753.366.973,-432.308.578.491,Cachoeiras de Macacu,Rio de Janeiro,https://www.inaturalist.org/observations/32561922,https://static.inaturalist.org/photos/51082958/medium.jpg,
