observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
21/12/1996,-198.438.339.133,-439.928.264.036,Belo Horizonte,Minas Gerais,https://www.inaturalist.org/observations/243534330,https://inaturalist-open-data.s3.amazonaws.com/photos/434270678/medium.jpg,Til und Affe bei Arabomin
10/01/2000,-1.964.417,-43.91,Lagoa Santa,Minas Gerais,https://www.inaturalist.org/observations/52859907,https://inaturalist-open-data.s3.amazonaws.com/photos/84049558/medium.jpeg,
11/04/2004,-197.075.210.707,-439.698.962.867,São José da Lapa,Minas Gerais,https://www.inaturalist.org/observations/154212306,https://inaturalist-open-data.s3.amazonaws.com/photos/266436076/medium.jpeg,
29/08/2004,-198.549.958,-440.053.019,Belo Horizonte,Minas Gerais,https://www.inaturalist.org/observations/42323942,https://inaturalist-open-data.s3.amazonaws.com/photos/67196416/medium.jpg,
05/01/2005,-23.543.635,-450.624.271,Ubatuba,São Paulo,https://www.inaturalist.org/observations/71310979,https://inaturalist-open-data.s3.amazonaws.com/photos/116082808/medium.jpeg,
16/07/2005,-199.493.813.085,-439.086.458.253,Belo Horizonte,Minas Gerais,https://www.inaturalist.org/observations/34329531,https://static.inaturalist.org/photos/54012031/medium.jpeg,
17/01/2006,-23.55,-45.066.667,Ubatuba,São Paulo,https://www.inaturalist.org/observations/24402509,https://inaturalist-open-data.s3.amazonaws.com/photos/37733239/medium.png,
10/08/2007,-235.541.888.786,-469.504.277.907,Itapevi,São Paulo,https://www.inaturalist.org/observations/66487471,https://inaturalist-open-data.s3.amazonaws.com/photos/107191959/medium.jpeg,
25/08/2007,-227.127.432.037,-476.332.621.652,Piracicaba,São Paulo,https://www.inaturalist.org/observations/111599184,https://static.inaturalist.org/photos/188412601/medium.jpg,
20/09/2008,-200.783.464.622,-440.345.392.004,Piracicaba,São Paulo,https://www.inaturalist.org/observations/111599185,https://static.inaturalist.org/photos/188412629/medium.jpg,
25/12/2008,-18.910.500.203,-482.278.710.317,Brumadinho,Minas Gerais,https://www.inaturalist.org/observations/257264111,https://inaturalist-open-data.s3.amazonaws.com/photos/461464805/medium.jpeg,
29/06/2009,-235.394.561.891,-450.635.770.952,Uberlândia,Minas Gerais,https://www.inaturalist.org/observations/67259926,https://inaturalist-open-data.s3.amazonaws.com/photos/108620238/medium.jpg,
09/10/2009,-2.031.246.005,-465.261.258.167,Ubatuba,São Paulo,https://www.inaturalist.org/observations/12319140,https://inaturalist-open-data.s3.amazonaws.com/photos/17730581/medium.jpeg,"Ilha Anchieta, Ubatuba, SP"
12/10/2009,-203.314.305.333,-464.976.644.833,São Roque de Minas,Minas Gerais,https://www.inaturalist.org/observations/41906871,https://inaturalist-open-data.s3.amazonaws.com/photos/66502130/medium.jpg,"Black-pencilled Marmoset, Callithrix penicillata"
17/10/2009,-227.187.849,-450.953.321,São Roque de Minas,Minas Gerais,https://www.inaturalist.org/observations/41896801,https://inaturalist-open-data.s3.amazonaws.com/photos/66486120/medium.jpg,Also called 'Black-tufted Marmoset'
06/03/2010,-189.104.596.039,-482.297.163.915,Lorena,São Paulo,https://www.inaturalist.org/observations/49901071,https://inaturalist-open-data.s3.amazonaws.com/photos/79229141/medium.jpeg,
18/03/2010,-189.104.596.039,-482.297.163.915,Uberlândia,Minas Gerais,https://www.inaturalist.org/observations/67221276,https://inaturalist-open-data.s3.amazonaws.com/photos/108548808/medium.jpg,
22/03/2010,-20.243.732,-46.365.288,Uberlândia,Minas Gerais,https://www.inaturalist.org/observations/67221294,https://inaturalist-open-data.s3.amazonaws.com/photos/108549323/medium.jpg,
